"Timestamp","Ikä?","Sarja johon kirjaudun","Olen juossut viimeisen vuoden aikana","Viimeisen vuoden aikana teen vähintään puolituntia kestävää liikuntaa","Viimeisin Cooper-tulokseni (valitse lähin)","Olen treenannut","Useimmiten treenaan","Kovan treenin ohessa","Tavoitteenani on","Haaveissani olisi","Isoimmat esteet haaveilleni ovat kaiketi","Uusilla reiteillä seuraan","Olen käynyt yhteislenkillä","Yhteislenkki oli (jos osallistuit)","Minulle käteviä treenipaikkoja olisivat","Käyn treeneissä yleensä","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Maanantai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Tiistai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Keskiviikko]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Torstai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Perjantai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Lauantai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Sunnuntai]","Treenimääränä minusta olisi optimaalinen","Treenin tehokkuus tulisi olla mielestäni","Treenimaaston tulisi sisältää","Treeneistä tulisi ilmoittaa","Korona on vaikuttanut","Parasta yhteistoimintaa on ollut","Lisäksi haluaisin","Harrastan myös"
"2023/12/14 11:45:38 PM GMT+2","40-50","miehet","5km lenkin;10km lenkin;puolimaratonin;ultran","seitsemästi viikossa","3000m","Nopeaa kävelyä (speed hike);Vetoja;Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Lämmittelen lihakset;Jäähdyttely (hölkkä);Muistan juoda","nauttia luonnosta;kehittää nopeuttani juoksijana;tutustua uusiin paikkoihin liikunnan keinoin;päästä podiumille;tutustua uusiin ihmisiin ja treenikavereihin;käydä läpi useita luonnon tarjoamia nähtävyyksiä","kisaaminen;polku- tai vuorijuoksu ulkomailla","Ajanpuute;Kulkuyhteydet","gps-reittiä;mobiilikarttaa","Joo","ihan sopiva kaikin puolin ja mukava","Keskusta;Köhniö;Laajis;Ladun maja;Myllyjärvi;Mäyrämäki;Vesanka, Ruoke","juoksen alkulämpät;pyörällä;toisen kyydillä","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","1 h;1 h 30 min;2 h","maltillinen hölkkä hitaimman mukaan;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","","muutama päivä aiemmin riittää","Ei ole vaikuttanut","Yhteislenkit;Juoksukaverit;Pikkujoulut;Juoksublogit tai tarinat","Enemmän yhteislenkkejä;Enemmän yhteisiä reissuja lähikuntiin;Enemmän yhteisiä pitkiksiä;Enemmän tasolenkkejä (eri vauhtiryhmät);Enemmän yhteisiä saunailtoja;Enemmän yhteisiä juoksuleirejä (esim. vuokratupa)","Hiihto;Jääpallo;Retkeily;Salibändy"
"2023/12/15 4:23:33 AM GMT+2","30-40","miehet","ultran","9 kertaa viikossa","3000m","Mäkeä juosten ylös;Alamäkijuoksu;Vetoja;Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Lämmittelen lihakset;Jäähdyttely (hölkkä)","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","","Ajanpuute;Fyysiset rajoitteet","suuntaa auringosta","Joo","","Halssila;Kanavuori;Kangaslampi;Kauramäki;Keskusta;Keljonkangas;Kuokkala;Kuolemankuopat;Köhniö;Laajis;Ladun maja;Leppävesi;Myllyjärvi;Mäyrämäki;Muurame;Nuutti;Sarvenperä;Sippulanniemi;Touruvuori;Vaajakoski;Vesanka, Ruoke","","","","","","","","","1 h;1 h 30 min","peruskestävyys hölkkää niin ettei sykkeet nouse;intervalleja","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa;suota","edellisenä päivänä;muutama päivä aiemmin riittää;viikkoa aiemmin","Ei ole vaikuttanut","Kisamatkat ja yhteismajoitukset;Yhteislenkit;Juoksukaverit","Enemmän yhteislenkkejä;Enemmän yhteisiä juoksuleirejä (esim. vuokratupa)","Hiihto;Jumppa;Maantiepyöräily;Retkeily;Suunnistus;Uinti"
"2023/12/15 6:25:35 AM GMT+2","40-50","miehet","ultran","viidesti viikossa","3100m","Mäkeä (kävellen/sauvoilla);Mäkeä juosten ylös;Alamäkijuoksu;Vetoja;Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Lämmittelen lihakset;Jäähdyttely (hölkkä);Tankkaan energiaa;Olen hankkinut ohjausta (valmennus)","nauttia luonnosta;kehittää nopeuttani juoksijana;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;käydä läpi useita luonnon tarjoamia nähtävyyksiä","pidempi yhtenäinen juoksuvaellus;polku- tai vuorijuoksu ulkomailla","Fyysiset rajoitteet","järjestäjän merkkejä;merkattuja reittejä;mobiilikarttaa","Joo","ihan sopiva kaikin puolin ja mukava","Halssila;Kangaslampi;Laajis;Vaajakoski","juoksen alkulämpät","","17-19","","17-19","17-19","","","1 h;1 h 30 min;2 h","maltillinen hölkkä hitaimman mukaan;peruskestävyys hölkkää niin ettei sykkeet nouse;mäkitreeniä","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä;nelivetopaikkoja;kivikkoa;juurakkoa","muutama päivä aiemmin riittää;viikkoa aiemmin","Ei ole vaikuttanut","Yhteislenkit","","Hiihto;Maantiepyöräily;Suppailu;Rullahiihto/luistelu, sali, koripallo"
"2023/12/15 6:39:23 AM GMT+2","40-50","naiset","maratonin","seitsemästi viikossa","Ei tulosta","Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","","nauttia luonnosta;löytää mahdollisimman paljon polkuja","","Ajanpuute;Ruuhkavuodet","järjestäjän merkkejä;mobiilikarttaa","Joo","ihan sopiva kaikin puolin ja mukava","Kauramäki;Keljonkangas","toisen kyydillä;omalla autolla","17-19","17-19","","17-19","17-19","10-12","10-12","1 h 30 min","maltillinen hölkkä hitaimman mukaan;peruskestävyys hölkkää niin ettei sykkeet nouse","","muutama päivä aiemmin riittää;viikkoa aiemmin","Ei ole vaikuttanut","Seurata somea","Enemmän yhteislenkkejä","Voimistelu "
"2023/12/15 6:49:03 AM GMT+2","40-50","miehet","puolimaratonin","viidesti viikossa","2800m","Mäkeä (kävellen/sauvoilla);Mäkeä juosten ylös;Alamäkijuoksu;Vetoja;Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Lämmittelen lihakset;Suorituksen jälkeinen lihashuolto (venyttely/rullailu);Käytän hierontapalveluita;Muistan juoda;Tankkaan energiaa;Olen hankkinut ohjausta (valmennus)","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;löytää mahdollisimman paljon polkuja","polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla","Ruuhkavuodet","mobiilikarttaa;paperikarttaa ja kompassia","Joo","ihan sopiva kaikin puolin ja mukava","Halssila;Kangaslampi;Keljonkangas;Köhniö;Laajis;Ladun maja;Muurame;Touruvuori","pyörällä;omalla autolla","17-19","17-19","17-19","17-19","17-19","10-12;12-15;15-17","10-12;12-15;15-17","1 h;1 h 30 min;2 h","peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);vetotreenejä;mäkitreeniä","","muutama päivä aiemmin riittää;viikkoa aiemmin","Ei ole vaikuttanut","Yhteislenkit","Enemmän yhteislenkkejä;Enemmän tasolenkkejä (eri vauhtiryhmät)","Gravel-pyöräily;Hiihto;Jääkiekko;Laskettelu;Lumikenkäily;Maastopyöräily;Retkeily;Uinti"
"2023/12/15 7:27:26 AM GMT+2","40-50","naiset","puolimaratonin","viidesti viikossa","Ei tulosta","Mäkeä juosten ylös;Vetoja;Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Jäähdyttely (hölkkä);Muistan juoda;Tankkaan energiaa","nauttia luonnosta;lisätä juoksumatkaa;löytää mahdollisimman paljon polkuja","polkujuoksu pohjoisessa suomessa","Ajanpuute;Fyysiset rajoitteet","järjestäjän merkkejä;mobiilikarttaa","Joo","ihan sopiva kaikin puolin ja mukava","Kanavuori;Vaajakoski","juoksen alkulämpät;omalla autolla","","","","17-19","","10-12","10-12","1 h 30 min;2 h","peruskestävyys hölkkää niin ettei sykkeet nouse","helppoa neulaspolkua;rymypätkiä","muutama päivä aiemmin riittää","Ei ole vaikuttanut","Facebook-läppä","Enemmän yhteisiä tunkkausmättöjä","Jumppa"
"2023/12/15 8:29:03 AM GMT+2","30-40","naiset","ultran","seitsemästi viikossa","3100m","Mäkeä (kävellen/sauvoilla);Mäkeä juosten ylös;Alamäkijuoksu;Vetoja;Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Lämmittelen lihakset;Jäähdyttely (hölkkä);Olen hankkinut ohjausta (valmennus)","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;käydä läpi useita luonnon tarjoamia nähtävyyksiä","pidempi yhtenäinen juoksuvaellus;kisaaminen;polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla","Määrärahojen puute;Ajanpuute;Ruuhkavuodet","olen oman tieni kulkija","Joo","ihan sopiva kaikin puolin ja mukava","Halssila;Kangaslampi;Leppävesi;Touruvuori;Vaajakoski","juoksen alkulämpät","","15-17","15-17","15-17","","","","1 h;1 h 30 min;2 h;2 h 30 min;yli 3 h","peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;juurakkoa","viikkoa aiemmin","Ei ole vaikuttanut","Juoksublogit tai tarinat","Enemmän yhteisiä pitkiksiä;Useammin backyard ultran;Enemmän yhteisiä juoksuvaelluksia;Enemmän yhteisiä tunkkausmättöjä","Hiihto;Jumppa;Retkeily"
"2023/12/15 9:09:33 AM GMT+2","30-40","naiset","10km lenkin","kolmesti viikossa","2400m","Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Lämmittelen lihakset;Jäähdyttely (hölkkä);Muistan juoda;Tankkaan energiaa","nauttia luonnosta;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;käydä läpi useita luonnon tarjoamia nähtävyyksiä","läheiset kansallispuistot;pidempi yhtenäinen juoksuvaellus;polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla","En uskalla kulkea uusilla reiteillä yksin;Ajanpuute;Kaverin puute;Kulkuyhteydet","merkattuja reittejä;mobiilikarttaa","Joo","ihan sopiva kaikin puolin ja mukava","Halssila;Keskusta;Kuolemankuopat;Laajis;Ladun maja;Touruvuori","pyörällä;omalla autolla","17-19;19-21","","","17-19;19-21","","","10-12;12-15;15-17;17-19","1 h;1 h 30 min","maltillinen hölkkä hitaimman mukaan;peruskestävyys hölkkää niin ettei sykkeet nouse","vain pieniä mäkiä;paljon verttimetrejä","muutama päivä aiemmin riittää;viikkoa aiemmin","Ei ole vaikuttanut","Yhteislenkit;Juoksukaverit;Facebook-läppä","Enemmän yhteislenkkejä","Hiihto;Crossfit"
"2023/12/15 10:34:23 AM GMT+2","40-50","miehet","ultran","seitsemästi viikossa","2900m","Mäkeä (kävellen/sauvoilla);Mäkeä juosten ylös;Alamäkijuoksu;Nopeaa kävelyä (speed hike);Vetoja;Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Lämmittelen lihakset;Suorituksen jälkeinen lihashuolto (venyttely/rullailu);Jäähdyttely (hölkkä);Käytän hierontapalveluita;Muistan juoda;Tankkaan energiaa;Olen hankkinut ohjausta (valmennus)","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;käydä läpi useita luonnon tarjoamia nähtävyyksiä","polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla","Ajanpuute;Ruuhkavuodet","järjestäjän merkkejä;merkattuja reittejä;gps-reittiä;mobiilikarttaa","Joo","ihan sopiva kaikin puolin ja mukava;liian hidas","Laukaa","omalla autolla","","","19-21","19-21","","19-21","19-21","1 h 30 min;2 h;2 h 30 min;yli 3 h","peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);vetotreenejä;mäkitreeniä;pitkää raastoa;intervalleja","helppoa neulaspolkua;paljon verttimetrejä;kivikkoa;juurakkoa","muutama päivä aiemmin riittää","Ei ole vaikuttanut","Kisamatkat ja yhteismajoitukset;Yhteislenkit;Juoksukaverit;Pikkujoulut;Facebook-läppä;Juoksublogit tai tarinat","Enemmän yhteislenkkejä;Enemmän yhteisiä reissuja lähikuntiin;Enemmän yhteisiä pitkiksiä;Enemmän tasolenkkejä (eri vauhtiryhmät);Enemmän yhteisiä juoksuvaelluksia;Enemmän yhteisiä saunailtoja;Enemmän yhteisiä tunkkausmättöjä;Enemmän yhteisiä juoksuleirejä (esim. vuokratupa)","Hiihto;Jumppa;Lumikenkäily;Retkiluistelu"
"2023/12/15 12:22:17 PM GMT+2","50-60","naiset","1km lenkin;5km lenkin;10km lenkin;ultran","kolmesti viikossa","2400m","Mäkeä (kävellen/sauvoilla);Mäkeä juosten ylös;Nopeaa kävelyä (speed hike);Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Muistan juoda","nauttia luonnosta","pidempi yhtenäinen juoksuvaellus","Laiskuus","mobiilikarttaa;paperikarttaa ja kompassia","Joo","ihan sopiva kaikin puolin ja mukava","Kanavuori;Vaajakoski","omalla autolla","17-19","","17-19","17-19","","10-12;12-15","10-12;12-15","1 h 30 min;2 h;2 h 30 min;yli 3 h","reipas kävely tällä kunnolla saa jo huohottamaan;maltillinen hölkkä hitaimman mukaan;peruskestävyys hölkkää niin ettei sykkeet nouse","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä;rymypätkiä","muutama päivä aiemmin riittää;viikkoa aiemmin","Ei ole vaikuttanut","Yhteislenkit;Juoksublogit tai tarinat","EOS","Hiihto;Lumikenkäily;Melonta;Rogain;Retkeily;Suunnistus;Pyöräily "
